"","FIPS","YEAR","POP"
"232","08033","1980",1658
"233","08035","1980",25625
"234","08037","1980",13490
"235","08039","1980",6903
"236","08041","1980",312087
"237","08043","1980",28820
"238","08045","1980",23033
"239","08047","1980",2463
"240","08049","1980",7531
"241","08051","1980",10722
"242","08053","1980",410
"243","08055","1980",6448
"244","08057","1980",1860
"245","08059","1980",374681
"246","08061","1980",1945
"247","08063","1980",7601
"248","08065","1980",8844
"249","08067","1980",27437
"250","08069","1980",150179
"251","08071","1980",14930
"252","08073","1980",4642
"253","08075","1980",19833
"254","08077","1980",82837
"255","08079","1980",816
"256","08081","1980",13198
"257","08083","1980",16651
"258","08085","1980",24537
"259","08087","1980",22514
"260","08089","1980",22590
"261","08091","1980",1943
"262","08093","1980",5421
"263","08095","1980",4539
"264","08097","1980",10348
"265","08099","1980",13066
"266","08101","1980",126076
"267","08103","1980",6353
"268","08105","1980",10574
"269","08107","1980",13454
"270","08109","1980",3963
"271","08111","1980",840
"272","08113","1980",3193
"273","08115","1980",3257
"274","08117","1980",8961
"275","08119","1980",8138
"276","08121","1980",5287
"277","08123","1980",123839
"278","08125","1980",9678
"279","09001","1980",808907
"280","09003","1980",809169
"281","09005","1980",157330
"282","09007","1980",129350
"283","09009","1980",762277
"284","09011","1980",239335
"285","09013","1980",115306
"286","09015","1980",92547
"287","10001","1980",98272
"288","10003","1980",398549
"289","10005","1980",98115
"290","11001","1980",637161
"291","12001","1980",152232
"292","12003","1980",15389
"293","12005","1980",98338
"294","12007","1980",20100
"295","12009","1980",275751
"296","12011","1980",1026241
"297","12013","1980",9299
"298","12015","1980",59505
"299","12017","1980",55748
"300","12019","1980",67844
"301","12021","1980",87548
"302","12023","1980",35638
"303","12027","1980",19165
"304","12029","1980",7789
"305","12031","1980",573019
"306","12033","1980",235191
"307","12035","1980",11201
"308","12037","1980",7686
"309","12039","1980",41698
"310","12041","1980",5892
"311","12043","1980",6006
"312","12045","1980",10651
"313","12047","1980",8790
"314","12049","1980",20385
"315","12051","1980",18847
"316","12053","1980",45736
"317","12055","1980",48104
"318","12057","1980",651957
"319","12059","1980",14808
"320","12061","1980",60741
"321","12063","1980",39299
"322","12065","1980",10722
"323","12067","1980",4040
"324","12069","1980",105911
"325","12071","1980",208127
"326","12073","1980",149760
"327","12075","1980",20065
"328","12077","1980",4269
"329","12079","1980",14942
"330","12081","1980",150317
"331","12083","1980",124239
"332","12085","1980",64964
"333","12086","1980",1643040
"334","12087","1980",63742
"335","12089","1980",33072
"336","12091","1980",110705
"337","12093","1980",20599
"338","12095","1980",474798
"339","12097","1980",50662
"340","12099","1980",585827
"341","12101","1980",196663
"342","12103","1980",733143
"343","12105","1980",324097
"344","12107","1980",50793
"345","12109","1980",51960
"346","12111","1980",88827
"347","12113","1980",56622
"348","12115","1980",204558
"349","12117","1980",182019
"350","12119","1980",24439
"351","12121","1980",22462
"352","12123","1980",16595
"353","12125","1980",10171
"354","12127","1980",261519
"355","12129","1980",10895
"356","12131","1980",21429
"357","12133","1980",14568
"358","13001","1980",15524
"359","13003","1980",6150
"360","13005","1980",9406
"361","13007","1980",3801
"362","13009","1980",34813
"363","13011","1980",8713
"364","13013","1980",21477
"365","13015","1980",40911
"366","13017","1980",16051
"367","13019","1980",13569
"368","13021","1980",150359
"369","13023","1980",10787
"370","13025","1980",8753
"371","13027","1980",15252
"372","13029","1980",10259
"373","13031","1980",35976
"374","13033","1980",19386
"375","13035","1980",13671
"376","13037","1980",5715
"377","13039","1980",13645
"378","13043","1980",7520
"379","13045","1980",56666
"380","13047","1980",37133
"381","13049","1980",7358
"382","13051","1980",202909
"383","13053","1980",21371
"384","13055","1980",21877
"385","13057","1980",52274
"386","13059","1980",75024
"387","13061","1980",3550
"388","13063","1980",151297
"389","13065","1980",6669
"390","13067","1980",300723
"391","13069","1980",26939
"392","13071","1980",35465
"393","13073","1980",40473
"394","13075","1980",13504
"395","13077","1980",39477
"396","13079","1980",7611
"397","13081","1980",19540
"398","13083","1980",12296
"399","13085","1980",4831
"400","13087","1980",25553
"401","13089","1980",483874
"402","13091","1980",16977
"403","13093","1980",10835
"404","13095","1980",100921
"405","13097","1980",54884
"406","13099","1980",13145
"407","13101","1980",2283
"408","13103","1980",18397
"409","13105","1980",18792
"410","13107","1980",20820
"411","13109","1980",8455
"412","13111","1980",14772
"413","13113","1980",29556
"414","13115","1980",79882
"415","13117","1980",28151
"416","13119","1980",15244
"417","13121","1980",591977
"418","13123","1980",11135
"419","13125","1980",2386
"420","13127","1980",55131
"421","13129","1980",30195
"422","13131","1980",19845
"423","13133","1980",11407
"424","13135","1980",169431
"425","13137","1980",25098
"426","13139","1980",76102
"427","13141","1980",9451
"428","13143","1980",18554
"429","13145","1980",15412
"430","13147","1980",18603
"431","13149","1980",6535
"432","13151","1980",36484
"433","13153","1980",78159
"434","13155","1980",8961
"435","13157","1980",25468
"436","13159","1980",7538
"437","13161","1980",11511
"438","13163","1980",18363
"439","13165","1980",8835
"440","13167","1980",8656
"441","13169","1980",16681
"442","13171","1980",12218
"443","13173","1980",5656
"444","13175","1980",37080
"445","13177","1980",11843
"446","13179","1980",38360
"447","13181","1980",6720
"448","13183","1980",4604
"449","13185","1980",68169
"450","13187","1980",10829
"451","13189","1980",18574
"452","13191","1980",8052
"453","13193","1980",13987
"454","13195","1980",17813
"455","13197","1980",5288
"456","13199","1980",21237
"457","13201","1980",7027
"458","13205","1980",21125
"459","13207","1980",14672
"460","13209","1980",7011
"461","13211","1980",11631
"462","13213","1980",19801
"463","13215","1980",170463
"464","13217","1980",34968
"465","13219","1980",12525
"466","13221","1980",8958
"467","13223","1980",26315
"468","13225","1980",18962
"469","13227","1980",11706
"470","13229","1980",11893
"471","13231","1980",8911
"472","13233","1980",32451
"473","13235","1980",8956
"474","13237","1980",10360
"475","13239","1980",2345
"476","13241","1980",10482
"477","13243","1980",9601
"478","13245","1980",181640
"479","13247","1980",36857
"480","13249","1980",3429
"481","13251","1980",14047
"482","13253","1980",9074
"483","13255","1980",48111
"484","13257","1980",21823
"485","13259","1980",5905
"486","13261","1980",29520
"487","13263","1980",6549
"488","13265","1980",2037
"489","13267","1980",18093
"490","13269","1980",7898
"491","13271","1980",11472
"492","13273","1980",11997
"493","13275","1980",38163
"494","13277","1980",33038
"495","13279","1980",22623
"496","13281","1980",5702
"497","13283","1980",6097
"498","13285","1980",50083
"499","13287","1980",9499
"500","13289","1980",9360
"501","13291","1980",9460
"502","13293","1980",26068
"503","13295","1980",56603
"504","13297","1980",31196
"505","13299","1980",37233
"506","13301","1980",6587
"507","13303","1980",18862
