"state","grand_total_t_10m2","building_dcmix_hr","building_dcmix_lr","building_dcmix_mr","building_irh","building_light","building_sdr_hr","building_sdr_lr","building_sdr_mr","building_sky","building","other_airport","other_parking","other_remaining_impervious","other","rail_bridge","rail_other","rail_railway","rail_subway_elevated","rail_subway_surface","rail_subway","rail","rail_tram","rail_tunnel","street_bridge_motorway","street_bridge_other","street_cycleway","street_footway","street_gravel","street_living_street","street_motorway_elevated","street_motorway_link","street_motorway","street_other_elevated","street_other","street_pedestrian","street_primary_link","street_primary","street_residential","street_secondary_link","street_secondary","street_tertiary_link","street_tertiary","street","street_trunk_link","street_trunk","street_tunnel"
"UK_EN",12183869624.3095,73283417.417964,21731114.968643,322745252.556602,832497238.609032,354970765.245251,8741121.34946251,3176029177.91247,1133122285.76297,14879544.9472656,5937999421.27916,71810852.0986099,334146649.104919,1890441656.92777,2296399150.02769,30093067.6535492,4981555.48511314,86184856.0994205,1159826.90405273,9517256.99536133,35742143.9541016,200635092.353416,1058176.681427,31898190.9712906,27729748.4333534,392585113.083374,5879445.26265079,52850963.8534946,20925076.6832447,1890645.08433533,2372702.98144531,14231852.0931396,105508863.251343,4090738.55451298,903038476.245789,4171426.15969086,2418379.79551697,151605858.462097,1200826805.2434,369078.682159424,157614259.694835,619114.769729614,431002072.720107,3748836357.44142,19463971.4575195,244079389.713257,5561314.06552887
"UK_SC",1731888941.77368,9708474.0797863,4291540.70412445,54930102.0094147,104570898.098005,42733035.492363,1013859.55298996,349960218.326393,170457043.901913,118123.88671875,737783158.887444,10513570.836792,39456692.8753662,276837728.513268,326808063.144249,4358642.33241272,605850.892120361,15988247.7006609,1042.99035644531,74839.625,1172704,24856866.2040863,111789.440246582,2543754.64498901,3476920.59716797,84827286.6354523,864353.652218819,2822068.56510162,6077469.49969864,312811.481079102,378349.954833984,2785347.14562988,16840123.2626953,563085.695273876,149047399.329455,431620.596488953,504332.252319336,56231532.4008789,151825562.894653,84306.5476379395,51393720.6549778,27054.0016174316,73870878.727356,642440918.002185,2089805.37994385,37505609.822876,480776.045654297
"UK_WA",979300524.616974,2608568.10119629,1897566.48786926,14586881.0882416,57093488.5619278,30750101.7236633,224202.038173676,247471166.875504,62183302.0102234,101922.30859375,416917140.946259,3672930.46673584,22149264.8604126,174646427.500488,200468627.819092,1855512.10978699,1211458.65237236,7870383.96643066,0,0,0,13074068.2593994,10206.3598632812,2126497.69897461,3286692.47497559,41260650.5668945,422685.051373005,2515231.99520874,1496276.87483215,20429.6045227051,221113.957519531,670209.548828125,5451340.91015625,359984.48740387,124725234.600586,216693.117767334,341978.580444336,19586257.1149902,74863535.5606766,21972.0017089844,21455064.0379486,20957.8782653809,30825763.4628906,348840785.604736,1142272.42993164,19563488.3905029,372776.786914825
