"zone","area_building_hard_lr","area_building_hard_mr","area_building_high","area_building_sky","area_building_wood_lr","area_building_wood_mr","area_other_airport","area_other_parking","area_other_remaining_impervious","area_rail_bridge","area_rail_exclude","area_rail_railway","area_rail_shinkansen","area_rail_subway_elevated","area_rail_subway_surface","area_rail_subway","area_rail_tram","area_rail_tunnel","area_street_bridge_motorway","area_street_bridge_other","area_street_gravel","area_street_living_street","area_street_motorway_elevated","area_street_motorway","area_street_other_elevated","area_street_primary","area_street_secondary","area_street_tertiary","area_street_tunnel"
-9999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,90,181,0,0,0,21,0,0,439,0,0,0,0,0,0,0,0,0,0,0,0,217,0,0,0,0,0,0,0
1,2884179863,962959689,19532,493241,2587614113,548667287,38432742,259712248,10889577813,33467630,16576999,100400371,57172300,1446649,992796,7063117,3446448,24767035,15797492,31749523,383989620,1773481544,15879342,53128506,31749523,168027703,202300590,225765278,25993016
2,1656056,2619828,0,4110,78244,42526,0,98645,6597372,7824,8705,151176,0,0,0,151841,32992,1116,107422,10010,1635,1162804,107552,2639,10010,37857,38337,40796,3640
3,1915485,1022882,0,0,478210,158656,0,90728,5405228,9194,0,28215,7532,0,5771,30826,0,356,17412,18359,37680,1104269,17412,28548,18359,111501,53611,43521,1015
4,934490,190972,0,0,1443020,133431,14910,84755,4084996,2284,0,29525,0,0,0,0,0,0,0,3307,0,3933,0,0,3307,1337,334,42324,0
5,307893,426272,0,0,777673,1056588,0,30224,3868983,874,0,49546,0,0,0,13565,0,240,0,0,0,6249,0,38884,0,2306,0,0,19113
6,273215,109159,0,0,446029,119756,0,38910,1477767,165,0,12439,0,0,0,0,0,0,0,0,0,2961,0,1102,0,0,9023,4572,0
7,2109770,309656,0,0,969986,91965,0,128645,5236225,4595,38,6212,0,0,0,0,0,0,0,8296,14556,253521,0,0,8296,1594,11725,27346,0
8,1991903,942779,0,0,1349749,437468,0,162988,7072932,871,867,56827,0,0,0,0,0,0,0,0,3503,39085,0,0,0,11341,4320,0,0
9,316155,1180649,0,418,370485,906125,0,72905,4175261,36104,63559,18072,0,0,0,0,56440,17059,0,7975,0,180654,0,20486,7975,35075,0,1721,27393
10,316177,3704919,125,32808,83672,112327,0,482454,6377021,89318,17650,85993,124155,12657,0,281842,0,125533,90894,41707,0,447516,91570,1917,41707,23979,66832,28014,0
11,318021,24807,0,0,293010,22372,0,689,1018896,0,0,0,0,0,0,0,0,0,2472,274,0,0,2519,55402,274,8080,26886,0,0
12,1810943,869610,0,0,760343,248438,0,132082,5571490,13734,0,51264,46016,0,0,0,0,3776,0,10792,15556,479332,0,0,10792,0,10509,6402,437
13,1318261,722498,0,0,1574927,410269,0,123129,6046751,30361,4519,68763,70808,0,0,0,0,1402,0,417,2896,94643,0,0,417,0,0,23467,823
