"state";"grand_total_t_10m2";"building_commercial_industrial";"building_commercial_innercity";"building_highrise";"building_lightweight";"building_multifamily";"building_singlefamily";"building_skyscraper";"building";"other_airport";"other_parking";"other_remaining_impervious";"other";"rail_bridge";"rail_other";"rail_railway";"rail_subway_elevated";"rail_subway_surface";"rail_subway";"rail";"rail_tram";"rail_tunnel";"street_bridge_motorway";"street_bridge_other";"street_local";"street_motorway_elevated";"street_motorway";"street_other_elevated";"street_primary";"street_secondary";"street_tertiary";"street";"street_track";"street_tunnel"
"US_SC";2149195490,32907;284111890,588806;15113384,7864966;1451720,69165039;66612936,6701536;83266151,6287842;649067575,523113;85680,484375;1099709275,60223;17848185,375;22971816,7270851;185566721,92247;226386761,336288;1000091,1763916;353335,953386307;47111585,3378906;0;0;0;48524469,359169;529,761047363281;58927,6392211914;6517586,29003906;5214669,23083496;437950369,552963;1741056,61621094;101281938,431152;1099811,9265213;77812261,5288086;58122753,7504883;81020798,9545898;774574314,611557;3575755,41391945;237829,848876953
"US_SD";986299443,316956;71595542,9907532;1494969,24775696;118252,600952148;16477820,0892744;7161051,11543274;150547335,089684;0;247394909,396774;12527837,7254639;1635988,751297;58366027,0664368;72529857,5486889;961379,290557861;669278,333618164;33258761,9287109;0;0;0;34946260,0730286;0;56841,0305175781;1562136,41748047;1923855,78131104;389443567,464294;415772,221923828;75469364,8408203;405755,041213989;25576777,4326172;73647013,4742432;52106953,2013206;631429057,543152;10763546,0472641;114718,396118164
"US_TN";3111587807,51328;410466617,251511;25370381,2772713;5526218,82165527;97037439,3198695;157981689,039978;1001261040,36009;4074065,23046875;1701716475,88394;20620000,5971222;20907310,962738;280404960,517124;321932272,090091;1177791,68457031;198774,775650024;60151517,9718018;0;0;0;62217471,1751709;62742,4765625;626641,083984375;9954165,00683594;7919304,23259735;541556951,286381;2656583,4074707;152427141,034424;1670238,5705719;109264155,252319;99792303,5817871;97101379,9762573;1025720770,8559;2624757,71495819;753672,29133606
"US_TX";10643861593,6822;1600456097,31392;48952441,9643328;9864734,90489388;399923803,591952;213196272,510381;1848296524,50174;35171574,9394531;4155861718,68889;115215544,983887;91109939,760376;1684326236,73587;1890652081,55262;5460381,33490753;1513826,70090485;238474335,921135;0;0;0;245986487,292717;88241,9208984375;449684,969482422;53719292,1972656;28163047,4510117;2239991594,66997;14360358,1096191;477202826,221436;5939788,9047718;443349778,341938;363705769,037354;656848624,407257;4351364053,29864;67064802,4361907;1018956,09746552
"US_UT";1213744118,33386;179490117,378922;5759540,24108696;1497569,72222519;30954953,2375405;5317868,8698597;289292764,14543;1272811,375;513584889,77883;14857330,6669922;23875417,981041;149785823,805927;188518483,29739;321231,561981201;435519,705413818;34822178,3926697;0;0;0;35998768,6358337;13947,9130859375;405891,525878906;3440915,222229;1688913,47888184;215597793,689941;917245,582244873;109816832,36084;356204,066591263;11831370,3242188;46388940,8388672;43074617,612793;475643756,685425;41868070,1817055;663149,679763794
"US_VA";3316413179,41995;371150545,017467;58854993,5227661;10644002,3970947;89396804,5009594;268056538,359741;997516101,512726;4379171,0234375;1799998275,79055;23465266,6328125;47720714,7306824;232789190,132081;303975141,041738;1994759,10686302;539281,486122131;67483013,7431946;1449864,93554688;3234816,04296875;2755395,84375;78950814,7776318;29841,97265625;1463839,17523193;12927471,8271179;8050450,94669342;604894269,489304;3450884,59766388;178941657,501953;1697897,87916374;114046818,355225;85160539,0283203;94492562,498291;1133489900,21849;26923982,7554474;2903437,12089539
"US_VT";352724984,615295;21562162,3620148;687395,750419617;15732,5547485352;9399770,98441315;7630014,00671387;102282689,268066;0;141577726,253876;1908685,25390625;3125718,4750061;30081990,7001648;35116396,6388245;259736,630828857;20191,218170166;10162312,8544312;0;0;0;10463565,0949097;0;21322,25;1442942,40527344;912946,724700928;81861399,6739044;384120,441650391;37477422,125;192547,059799194;2359012,17480469;15325800,7539062;23846979,4667969;165567242,960037;1665921,11732483;98182,8013305664
"US_WA";2485557273,44043;359746055,76702;24505485,7945765;12284847,3863068;71702072,3064899;54176223,2825928;629933336,677094;10644248,0898438;1162990569,8916;29831376,0625;32991197,4198388;308483235,390894;371305610,822148;2483183,83840942;872163,187503815;68143869,2423401;0;0;0;75099652,9180298;98037,3115234375;3502383,09448242;8511833,94921875;6235335,97135544;526670313,624868;2281549,48364258;112913447,962402;1315049,65111446;30386243,9300537;68886128,7001953;86955500,1883545;876161785,441946;29366864,7084351;2639895,67179871
"US_WI";3233299689,22028;436785871,912106;18921451,2308159;3891527,72338867;95066354,837842;110656384,388956;976082552,437775;2206413;1643611195,77737;28716456,3056641;7760678,07443237;253118353,090179;289595383,260101;1554743,57756042;1126128,07198334;68727821,0683594;0;0;0;71629779,3227692;41471,5085449219;179617,149658203;8337102,88110352;7425409,64565277;579935697,578186;2226148,24432373;164375046,822754;1566072,26423264;46269677,211792;188949576,744476;220923316,134689;1228462637,24176;7734373,9048028;720047,986221313
"US_WV";1021198968,08594;83591444,0035563;8552016,73856735;2627305,22967529;26244323,8161011;48998799,4487915;271539338,622925;111065,7421875;441664276,260498;5630132,36396599;6639695,15680695;78823386,658987;91093226,155508;1096158,72680664;612057,51361084;47123382,7218018;0;0;0;50794354,0228271;42771,5859375;1919978,10766602;4506635,07666016;3740924,3236084;231242825,074219;1198494,83483887;60792068,8388672;788987,826668739;28451594,2246094;48914663,6943359;52626993,3586783;437647158,402344;4675497,73239899;708595,606231689
"US_WY";738862731,709473;48448716,8862243;921401,819252014;288741,008056641;8204481,84835672;419581,413497925;64730310,2827263;0;123013279,180059;11395541,4160156;3258464,86869812;35800825,6650391;50454803,5760498;530650,50970459;47469,3255157471;47657073,1640625;0;0;0;48706083,0471191;0;470901,555664062;2441045,37744141;1484048,80334473;241412325,830933;649609,032958984;97070139,0625;312996,551418304;2987288,59375;68979347,09375;33990519,2906494;516688424,266113;67003025,1988525;359272,205505371
