"zone","area_building_ci","area_building_dlr","area_building_mixed","area_building_sdr","area_building_traditional","area_other_airport","area_other_parking","area_rail_bridge","area_rail_exclude","area_rail_other","area_rail_railway","area_rail_subway_elevated","area_rail_subway_surface","area_rail_subway","area_rail_tram","area_rail_tunnel","area_street_bridge_motorway","area_street_bridge_other","area_street_exclude","area_street_local","area_street_motorway_elevated","area_street_motorway","area_street_other_elevated","area_street_primary","area_street_secondary","area_street_tertiary","area_street_track","area_street_tunnel"
45,26443,6147,1473,248415,144242,0,0,0,0,0,0,0,0,0,0,0,0,7172,84996,5983729,0,0,7172,0,1292228,461014,297255,0
46,21050,18386,40170,1111102,448430,201789,1253,0,0,0,0,0,0,0,0,0,0,1029,25570,8678457,0,0,1029,0,1046521,1110321,683650,0
47,35372,28324,108465,3092582,1997668,0,2275,0,2016,0,0,0,0,0,0,0,0,16075,1016914,20228315,0,0,16075,0,915438,3336342,2945002,0
48,138801,40997,126916,4168515,520066,0,27526,0,0,0,0,0,0,0,0,0,0,4934,608181,14002219,0,0,4934,1280697,498207,1461552,2749460,0
49,60448,10405,39603,1428486,786705,73698,0,0,0,0,0,0,0,0,0,0,0,10357,2835682,27427888,0,0,10357,0,1414613,3502239,5183653,0
50,28039,27830,97030,3117434,2809693,0,0,0,0,0,44129,0,0,0,0,0,0,3925,532062,18278474,0,0,3925,0,561833,1210387,883919,8409
51,51915,105221,382324,4916534,2358340,101115,453,0,0,0,0,0,0,0,0,0,0,3867,8159837,46515582,0,0,3867,1479335,0,2516332,9867243,4349
52,25167,15723,87321,4099708,446599,0,6569,0,0,0,0,0,0,0,0,0,0,4538,393615,12011656,0,0,4538,0,303052,720458,2500244,0
53,31823,37664,93518,1433869,889396,0,0,0,0,83003,0,0,0,0,0,0,0,0,1334475,19310528,0,0,0,0,0,1132199,1451459,0
54,35698,32165,33853,2610088,584704,0,0,0,0,0,0,0,0,0,0,0,0,9251,525535,7006484,0,0,9251,0,639315,736920,907723,0
55,83302,37397,128743,2499666,3411192,160981,0,0,0,0,635208,0,0,0,0,0,0,21879,185337,18549948,0,0,21879,0,811972,3600805,407121,0
56,85667,68691,136995,2422310,4300475,49743,219263,0,0,920,1279424,0,0,0,0,0,0,30714,763028,17534980,0,0,30714,518562,283152,1257605,1174278,0
57,547578,2653053,4520253,23246400,650885,1066548,396364,0,57212,0,75778,0,0,0,123,0,95677,35803,986433,58521353,95677,867612,35803,1003785,1569682,1676629,1577530,5157
58,15123,20258,2032,772518,1968791,0,9158,0,0,0,0,0,0,0,0,0,0,12797,3802725,33879273,0,0,12797,0,0,2042116,1480394,0
