zone;country;name;area;population
1;UK;Antrim and Newtownabbey;727.8468477;144211
2;UK;Armagh City, Banbridge and Craigavon;1435.429856;213610
3;UK;Belfast;137.7051674;338120
4;UK;Causeway Coast and Glens;1984.232553;143898
5;UK;Derry City and Strabane;1248.819579;151414
6;UK;Fermanagh and Omagh;3005.98415;117672
7;UK;Lisburn and Castlereagh;510.0766403;146299
8;UK;Mid and East Antrim;1049.469616;134900
9;UK;Mid Ulster;1954.136832;148313
10;UK;Newry, Mourne and Down;1640.63774;178364
11;UK;Ards and North Down;460.9599429;157707
12;IE;Borrisnoe;21.05196131;121
13;IE;Bourney East;22.42856044;256
14;IE;Bourney West;24.9855889;371
15;IE;Killea;27.26674307;415
16;IE;Rathnaveoge;18.37411565;297
17;IE;Roscrea;48.44228519;6329
18;IE;Ballycahill;20.50530442;430
19;IE;Ballymurreen;12.10719002;222
20;IE;Borrisoleigh;22.50938626;1176
21;IE;Drom;47.12173091;1513
22;IE;Foilnaman;24.19993541;353
23;IE;Glenkeen;27.69960595;416
24;IE;Gortkelly;27.65212622;534
25;IE;Holycross;35.18080879;1245
26;IE;Inch;14.82662677;423
27;IE;Kilrush;24.44510449;504
28;IE;Littleton;26.57550159;1043
29;IE;Longfordpass;25.35667718;385
30;IE;Loughmore;29.43818426;631
31;IE;Moyaliff;23.60957007;399
32;IE;Moycarky;15.56123244;583
33;IE;Moyne;32.81378111;529
34;IE;Rahelty;26.04249106;685
35;IE;Templetouhy;41.90517911;800
36;IE;Thurles Rural;38.58954681;3921
37;IE;Two-Mile-Borris;23.89812545;923
38;IE;Upperchurch;27.70063029;282
39;IE;Carrickbeg Urban;3.78535724;1917
40;IE;Carrick-on-Suir Urban;5.70009829;4056
41;IE;Cashel Urban;1.34424237;3003
42;IE;Clonmel East Urban;2.76547155;2415
43;IE;Clonmel West Urban;2.50842253;3448
44;IE;Tipperary East Urban;1.54865011;1866
45;IE;Tipperary West Urban;1.81815092;2528
46;IE;Carrick-on-Suir Rural;15.76599856;450
47;IE;Garrangibbon;36.72399002;621
48;IE;Kilmurry;22.16962056;363
49;IE;Newtown;22.05690514;426
50;IE;Ardmayle;23.90802164;532
51;IE;Ardsallagh;27.54522714;460
52;IE;Ballysheehan;28.0335494;489
53;IE;Cashel Rural;40.38450916;2418
54;IE;Clogher;20.68213549;211
55;IE;Cloneen;27.18387063;385
56;IE;Clonoulty East;18.37438885;590
57;IE;Clonoulty West;40.76651569;662
58;IE;Colman;19.3718504;403
59;IE;Cooleagh;28.30467777;536
60;IE;Drangan;29.77261846;705
61;IE;Johnstown;15.59535537;787
62;IE;Kellistown;20.00197286;903
63;IE;Kilbride;14.67531443;401
64;IE;Killedmond;18.81280754;408
65;IE;Killerrig;11.11244757;393
66;IE;Leighlinbridge;24.80708861;1604
67;IE;Muinebeag Rural;14.84221479;744
68;IE;Muinebeag Urban;3.09984053;2623
69;IE;Myshall;17.27735911;508
70;IE;Nurney;23.96885325;820
71;IE;Oldleighlin;19.35756619;576
72;IE;Rathanna;23.40233714;105
73;IE;Rathornan;19.92374991;452
74;IE;Rathrush;23.45086888;983
75;IE;Ridge;17.23640667;279
76;IE;Shangarry;20.03863868;732
77;IE;Sliguff;15.05431751;563
78;IE;Tankardstown;16.83693037;410
79;IE;Templepeter;15.07903195;410
80;IE;Tullowbeg;12.05353693;1069
81;IE;Tullow Rural;13.9163234;614
82;IE;Tullow Urban;3.39505233;3751
83;IE;Ballymurphy;17.99818585;321
84;IE;Coonogue;15.21990989;180
85;IE;Glynn;22.59494199;429
86;IE;Kyle;16.83378395;262
87;IE;Marley;15.35773898;356
88;IE;Tinnahinch;13.80849735;310
89;IE;Arran Quay A;0.15137711;1102.510808
90;IE;Arran Quay B;0.75791897;19331
91;IE;Arran Quay C;0.38285258;3996.802425
92;IE;Arran Quay D;0.34787282;1832.406559
93;IE;Arran Quay E;0.26319079;2158.380598
94;IE;Ashtown A;1.99864355;9028.119354
95;IE;Ashtown B;0.60172144;5082
96;IE;Ayrfield;0.89431182;5082.32664
97;IE;Ballybough A;0.34876028;3053.192182
98;IE;Ballybough B;0.35509644;2832.39461
99;IE;Ballygall A;0.48531478;3078.426302
100;IE;Ballygall B;0.55441799;3066.870301
101;IE;Ballygall C;0.98864705;4245.769667
102;IE;Ballygall D;0.43469176;1506.208606
103;IE;Ballymun A;0.94454068;10318
104;IE;Ballymun B;0.66164821;2760.710342
105;IE;Ballymun C;0.77143076;3986.266263
106;IE;Ballymun D;0.47625825;2755.980466
107;IE;Ballymun E;0.35379087;1803.706586
108;IE;Ballymun F;0.43750436;2276.202826
109;IE;Beaumont A;0.51435152;2332.279566
110;IE;Beaumont B;0.85160648;4087.809628
111;IE;Beaumont C;0.59577914;3316.057452
112;IE;Beaumont D;0.46689432;2443.078604
113;IE;Beaumont E;0.31479993;1707.74789
114;IE;Beaumont F;0.53907505;3178.931065
115;IE;Botanic A;1.31282392;7376
116;IE;Botanic B;0.49702806;2899.957284
