"zone";"area_building_arco";"area_building_dcmix";"area_building_high";"area_building_irh";"area_building_light";"area_building_mlr";"area_building_sdr";"area_building_sky";"area_other_airport";"area_other_parking";"area_other_remaining_impervious";"area_rail_bridge";"area_rail_exclude";"area_rail_other";"area_rail_railway";"area_rail_subway_elevated";"area_rail_subway_surface";"area_rail_subway";"area_rail_tram";"area_rail_tunnel";"area_street_bridge_motorway";"area_street_bridge_other";"area_street_cycleway";"area_street_exclude";"area_street_footway";"area_street_gravel";"area_street_living_street";"area_street_motorway_elevated";"area_street_motorway_link";"area_street_motorway";"area_street_other_elevated";"area_street_other";"area_street_pedestrian";"area_street_primary_link";"area_street_primary";"area_street_residential";"area_street_secondary_link";"area_street_secondary";"area_street_tertiary_link";"area_street_tertiary";"area_street_trunk_link";"area_street_trunk";"area_street_tunnel"
76;0;126491;19537;2999677;1863385;0;15241415;0;575720;1898543;13316143;76834;1467589;121843;3221725;0;0;0;0;7082;36481;2104999;256468;200197;367141;597084;2579;36481;0;20565;2104999;3749567;11064;25170;1718163;1919441;344;1791908;0;3697311;160902;3658852;5148
77;0;291285;98430;7150178;3518626;0;29483941;0;544300;3794387;25017448;119510;785147;140868;4370754;0;0;0;77002;40987;55018;2061794;46439;337895;1031959;836059;3563;55018;41773;731490;2061794;1955933;20834;5710;1095751;3622087;3964;549851;6249;1952564;168269;2669361;3145
78;0;606786;147115;1940497;822954;0;7242312;0;0;1635696;5877733;24034;51923;31889;398758;0;0;0;273746;8041;18276;261489;69821;25089;146893;79979;8868;18276;463;4311;261489;442086;20225;1344;358232;2228518;0;59361;1226;230409;56278;498538;4316
79;0;395352;96236;6540983;3314371;0;25617337;0;2265948;3478499;13188333;116707;575643;128635;4435773;0;0;0;0;28174;71914;1787163;441969;921485;1808105;1228046;6372;71914;79224;37209;1787163;5063811;36154;13954;3048886;5970789;8809;1197668;8567;2191453;195361;3518698;7101
80;0;131136;51643;2243709;712149;0;6237493;0;206666;1083773;4287765;18190;105133;10007;1056713;0;0;0;0;11137;1606;338927;148381;26254;78851;18292;5582;1606;20478;18229;338927;464919;5041;2661;414960;1709806;961;75387;695;676496;194684;1071245;1854
81;0;230200;46770;1912326;655481;0;5753418;0;39596;899157;6108679;26243;36790;33467;478504;0;0;0;0;12801;0;236857;33294;2338;42704;15239;3663;0;0;0;236857;400587;2772;596;214605;1324893;87;139440;285;186780;80861;403648;1129
82;0;85473;13168;1133808;458784;0;4040921;0;0;533930;3953573;4587;37097;7072;184307;0;0;0;0;0;1581;214229;26360;2409;16443;7513;0;1581;6414;0;214229;62872;2166;1616;18527;228848;900;35940;624;74081;30438;318632;571
83;0;172302;37566;1730430;655220;0;5533090;0;0;1040828;5006327;15160;29994;11253;296513;0;0;0;677;423;8578;151479;37796;21877;69862;24384;0;8578;34421;137473;151479;364055;4535;4758;440214;1611268;3189;43788;619;120917;20172;175548;3313
84;0;161401;12624;509288;703428;0;6209002;0;0;305156;5357879;4715;4690;7381;216266;2260;105663;79894;0;9314;29276;117608;15047;795;37659;11575;0;29325;9068;95817;117608;132868;1576;1286;232654;1649486;872;28250;398;113695;16138;227123;12410
85;0;264055;118641;1958502;726089;0;5779965;0;11494;432233;14025921;30464;265297;93222;1340263;0;0;0;0;12722;0;467327;15647;15733;19493;26340;2011;0;0;0;467327;195125;633;0;373433;455119;0;18605;0;105897;2942;354695;172
86;0;191885;29543;455900;536279;0;4755093;0;0;434771;3581370;11991;2156;357;450656;0;0;0;0;4056;0;184821;39698;74660;138769;57423;0;0;0;0;184821;250564;15797;565;205759;970413;0;30511;122;65647;2034;123421;1277
87;0;313;880;426939;309767;0;2411863;0;652970;244327;945870;30768;122960;11481;684910;0;0;0;0;50308;14284;229853;65612;49576;40641;38535;0;14284;0;0;229853;677703;407;0;66920;383947;0;116339;0;342233;31767;481709;0
88;0;130366;22262;3604060;2419592;0;17535623;0;952536;1362204;11203174;63291;864194;232809;2730557;0;0;0;0;4919;90769;1563636;24542;88936;227656;240451;745;90769;16481;82200;1563636;4842053;8744;392;997181;1006374;0;1059236;502;1030543;16557;1736183;7378
89;0;85569;22542;5438817;3563612;0;25199663;0;813209;2870445;13830339;60518;689068;98547;3486925;0;0;0;0;30332;142594;2257859;75000;154450;283103;857458;0;142962;87340;1923641;2257859;5929722;9644;10670;2054239;2624935;550;719399;11355;1194095;21744;1398009;2203
90;0;22887;41899;2938053;1384109;0;11322032;0;73356;2115532;8735463;29401;93845;37751;1409460;0;0;0;0;152509;60716;666028;130552;92663;408423;130170;8711;61109;155042;1709267;666028;1965296;6752;2534;792782;3192408;213;594892;2923;644265;18592;835160;1659
91;0;1264335;244528;13056676;4911535;0;41788522;0;560417;4526040;47483465;198018;829877;92200;6214315;0;0;0;279659;184664;206481;1823535;137623;325181;798014;367107;16062;206538;296550;2694493;1823535;2756595;31134;5663;2127139;6383572;3615;753737;1270;1531909;107801;2746321;12390
92;0;174370;60909;1324205;572720;0;5063527;0;196;1428484;4876750;5317;39983;29962;461803;0;0;0;0;7514;7576;193556;38335;14599;141661;13043;0;7576;43676;218962;193556;306529;403;6145;429337;1737026;0;39618;620;212760;1283;56430;970
93;0;81228;9937;793222;646157;0;5311177;0;206243;560558;4051766;3850;9954;1145;442755;0;0;0;0;0;0;92117;4276;1650;53359;12437;0;0;1438;0;92117;142257;147;553;240500;863831;0;54218;0;159604;11141;68211;441
94;0;513022;147564;804433;460996;0;4114001;0;0;231100;3787693;376933;28476;224;621179;0;0;73438;0;40564;0;86276;29586;3194;106909;8499;0;0;0;2872;86276;271786;13245;836;220163;1152787;1650;71483;0;114773;140;80702;1835
95;0;486551;82792;9091465;4286809;0;35928827;0;239761;4807003;29839839;143445;894872;418989;4619257;0;0;0;4247;38261;45700;2584508;122060;158021;497215;301132;4528;45700;233031;2352461;2584508;3114880;23253;2511;1437055;2572053;140;574339;2931;1794971;216588;4187356;1380
96;0;131900;29743;1772429;585960;0;4879293;0;32718;516474;7046145;25352;132631;7084;994549;0;0;0;0;3205;0;327911;39593;7799;39848;24382;7162;0;0;0;327911;268039;1956;2197;435853;638055;0;27516;418;176741;53163;139066;938
97;0;226074;6847;2744807;792455;0;6965797;0;0;1004008;9872061;15739;200784;27226;460016;0;0;0;0;21933;0;341704;30077;7920;44360;18705;430;0;0;0;341704;242478;3999;470;485579;665262;0;64245;1657;191794;114757;346147;425
98;0;204959;47850;7317896;4218735;0;29333291;0;2771854;3323097;16038545;61875;464070;49990;3304336;0;0;0;3833;18956;18914;2626611;294147;324572;853387;728303;25080;18914;0;44677;2626611;6072020;36811;11767;1998138;5039435;0;1182652;2476;3978874;339644;4373358;2924
99;0;352377;51687;4626596;4143863;0;35179926;0;569178;5707245;20156732;173429;212119;54336;5540812;0;0;3279;0;185603;211605;1995649;102909;1266485;1200525;1018515;30036;211995;113591;2050344;1995649;4306653;20423;22362;1570405;8491028;0;655441;1565;1943933;91518;1855420;103507
100;0;64438;10267;916470;471338;0;4137782;0;0;625918;3280768;10634;6443;0;305567;0;0;0;3971;0;0;71363;39308;23414;88604;18708;2173;0;0;0;71363;227759;5207;0;142052;1606784;267;88936;312;145832;1478;273169;274
101;0;329924;17562;2299833;667417;0;5485579;0;194609;1142546;4130551;8469;68877;16964;365012;0;0;0;0;176;6030;283678;59084;40453;51728;116049;1326;6030;5610;360623;283678;546329;7856;2559;274393;1440861;576;278509;0;197435;45817;466625;1420
102;0;90091;16676;2536590;664754;0;5673388;0;29332;1008882;6409163;9558;172454;52630;348853;0;0;0;0;8154;34900;467364;4059;5801;27676;38407;0;34900;56914;39716;467364;325979;0;9173;146102;185687;0;147438;0;124104;78308;448996;0
103;0;64133;18545;2296867;493475;0;3829216;0;15367;802196;7822282;29476;30111;3202;924229;0;0;0;0;40474;7022;227406;50533;25125;136119;21156;0;7022;3367;25465;227406;538333;1375;16267;530193;1596385;0;141915;998;261328;134654;639935;54732
104;0;43649;4419;430563;561080;0;4804336;0;9236;496042;2353194;8943;13498;65708;244898;0;0;0;0;5424;5321;124129;19777;9541;165592;115841;1095;5321;0;0;124129;514519;8802;239;272347;1906238;798;52631;0;381382;0;145733;210
105;0;639444;415329;1016282;260078;0;2313135;0;0;263380;4364887;231104;335569;10437;493673;7401;15711;171601;0;386599;1159;125244;26378;9633;72291;3509;7932;1159;0;0;125244;231831;5689;9467;111592;572276;0;40782;832;61692;22507;292794;172390
106;0;1870025;226728;9113569;3436222;0;30157287;0;78085;5153536;41291325;137806;748151;144844;2417790;0;0;0;0;137071;96040;1426286;215484;115596;284333;101788;4039;96040;79370;394993;1426286;1304446;41022;55852;2700366;3589693;6792;705945;2118;1555390;550022;2290533;48822
107;0;145287;1825;590586;551541;0;4906388;0;0;344710;4256109;67208;7853;3126;420522;2247;51079;50613;0;26191;4975;78624;16770;5841;37051;25096;552;4975;0;0;78624;120219;4539;21453;202859;1371690;586;24875;919;59628;20586;207165;20516
108;0;325215;51490;496855;632649;0;5642047;0;0;131136;3683915;94465;1598;3595;702321;9432;29733;62726;0;6239;3149;50650;20591;11344;62805;8407;860;3149;0;0;50650;156879;3359;2281;158003;1617570;0;55763;0;85412;11467;309284;895
109;0;45939;5776;2507683;685991;0;5893332;0;104435;908638;7387887;31633;132599;3072;801758;0;0;0;0;1030;37677;217497;83010;33703;218292;127062;4614;38085;266481;660759;217497;552848;8647;562;754343;2514921;0;145071;162;561733;8598;614982;597
110;0;323323;76908;7083420;2712479;0;22673197;0;266466;3575802;18787507;125144;770038;32896;4283619;0;0;0;0;16642;143076;1656931;85061;140724;498148;216404;14898;143203;303135;2628115;1656931;2985933;24861;1875;1180116;1967276;1125;1053759;573;1749987;76533;2296575;7505
111;0;3193705;901382;21814757;8049169;0;71485814;0;721048;8740719;67212169;230848;487555;156126;4891560;0;0;0;251399;136337;660745;1927374;441126;146061;1417575;162737;7861;662707;188001;1546575;1927374;4053990;47962;33886;2198028;16560774;14958;1233600;10964;2682730;307108;4154941;49142
112;0;101674;35494;5439826;4137197;0;26553746;0;1964408;3886181;14230188;57449;405951;173416;2726294;0;0;0;0;70974;16881;1625672;209425;1176172;1200853;1052006;19803;16881;30597;110623;1625672;3959485;21697;12394;2520541;7040446;3133;941991;6362;2701392;137002;2805931;29351
113;0;1781140;423400;19846104;7468168;0;63290298;0;358062;6980727;71043233;356186;1236654;273570;6584395;0;0;0;0;528193;280470;3028876;249350;359024;1490585;761252;13695;281443;465030;2894116;3028876;4606738;77090;77284;4166962;11750471;5688;1047815;7312;3794577;107531;4165242;70397
114;0;3720220;721774;425227;172224;0;1527187;0;0;182035;3405308;183865;236752;18687;448861;447;22734;533398;0;235256;0;173459;8821;10098;111249;3920;996;0;0;0;173459;226535;25311;347;230714;550315;0;46467;1238;55181;4045;204686;1592
115;0;100098;8766;4285859;2853713;0;20875752;0;1778624;2184658;10577889;73869;530778;78057;4172377;0;0;0;0;67997;35268;2135474;174692;391478;596577;1399657;15779;35268;34932;926886;2135474;3414436;7762;4144;1416780;2524572;283;495252;0;2451370;72913;1612986;3217
116;0;288884;16092;4994035;2898207;0;23691518;0;164785;2606917;16379865;71508;302668;147571;2370690;0;0;0;544;27496;112392;1809723;93975;111137;427522;125665;3200;112392;186106;1477471;1809723;3127749;5069;47257;1377261;2517025;1673;789723;501;1160211;146637;2905477;2610
117;0;137062;8503;1576863;773758;0;6227635;0;441640;1214375;4280378;7790;121039;22047;962143;0;0;0;0;936;473;314119;64491;20083;49124;33044;3356;473;0;6556;314119;379451;14716;211;258149;1647911;1754;58160;114;238291;82787;787685;2508
118;0;162279;14925;4873812;2390491;0;14993240;0;245460;1116396;14693422;62624;1113222;24269;1652162;0;0;0;0;933;13996;1598815;26468;72150;139173;283886;22573;13996;0;32102;1598815;2119948;5177;1481;2013119;1298740;0;1188679;591;1187651;34072;1081285;2375
119;0;433372;77405;2844373;750505;0;6272064;0;362745;1454052;8265724;25149;71417;767;444042;0;0;0;0;13521;2501;211113;21804;23600;76484;142604;495;2501;0;0;211113;840132;6833;1664;787215;2330101;0;160319;0;654447;0;111487;2825
120;0;58910;6062;1407809;746825;0;5972166;0;192376;344241;6217931;23874;511696;59444;703190;0;0;0;0;323;1504;490182;27554;30530;25591;36875;0;1504;0;0;490182;393278;174;288;943216;400529;0;137147;0;353089;29599;375873;281
121;0;128584;7836;667597;690323;0;4205478;0;619233;493798;6817750;28574;146340;584;1763690;0;0;0;0;613;1937;1536763;40296;170698;165380;276593;0;1937;1137;0;1536763;1145511;8061;317;1661968;495097;0;1400916;0;700318;0;2947013;9154
122;0;59747;5257;774325;200514;0;1741399;0;0;166839;1682493;4306;178510;0;131783;0;0;0;0;335;0;181607;95;2581;5442;11559;248;0;0;2130;181607;47140;0;0;199068;56129;0;48173;0;21158;0;19465;56
123;0;132602;20932;2808935;1450150;0;10167394;0;171353;630182;9137887;81433;972241;137449;3024116;0;0;0;0;37393;29661;1873288;64920;54155;228515;481716;6262;29661;180920;1325208;1873288;2049895;3827;408;2312677;679835;2676;1202021;0;599939;12769;764896;715
124;0;345833;56489;1413983;512707;0;4485609;0;61813;520682;4014908;12236;48101;959;281614;0;0;0;0;14534;5060;86577;32948;14414;69903;17050;2011;5060;0;1709;86577;459325;10949;0;553244;2002248;0;96484;550;466146;24662;446639;4550
125;0;112629;4666;822624;560046;0;4785862;0;0;272700;6123751;51767;848898;13107;1320774;0;0;0;0;10624;19771;491428;1082;9208;27292;48199;0;19771;12719;295952;491428;361996;0;1704;519961;120520;349;215813;0;127614;36865;334062;0
126;0;13696;6372;812376;498447;0;4367251;0;0;371982;2861174;9275;165040;2858;364350;0;0;0;0;921;3147;212840;23043;10885;27093;20073;4107;3147;16527;135585;212840;261884;2837;3005;389339;1375408;217;128893;0;227354;4707;19962;260
127;0;63931;23640;676007;480545;0;3910820;0;11882;502585;3370207;15180;188439;15991;882190;0;0;0;472;1454;2878;420019;61213;49892;84513;60197;271;2878;0;0;420019;339478;1534;0;919163;404649;0;273642;0;430120;46115;661738;30
128;0;4269;1135;167087;291995;0;2561926;0;0;223823;1820940;21491;38275;1031;359493;0;0;0;0;0;8835;76821;658;5167;25188;10420;44537;8835;0;132915;76821;198116;0;0;85772;699944;0;65150;505;120622;0;105869;0
129;0;1673092;315177;2919198;1347433;0;11899621;0;507845;2982455;10208360;74112;242846;1277;1618147;0;0;0;173620;52949;22963;552531;204356;222065;283902;173132;1521;22963;48889;268806;552531;1464043;27167;33346;1076999;4389876;0;154486;3246;780695;162399;629664;6515
130;0;19414;7;248274;642941;0;713885;0;438462;213234;4845887;0;8848;0;0;0;0;0;0;0;0;279631;27635;9946;16688;48672;0;0;366;0;279631;626292;1540;0;1235917;121950;0;302839;0;464003;0;32783;0
131;0;237991;33243;1601169;568244;0;4993505;0;0;762203;7274380;28276;496300;88468;874728;0;0;0;0;14341;62213;343020;45524;21752;40215;37320;1138;62334;106571;737919;343020;243305;4955;4246;1187960;627110;0;237986;145;253826;457;36707;3990
132;0;308316;87291;3392759;1701197;0;14347816;0;382048;2050276;15070904;77969;1131479;153850;2211663;0;0;0;0;19776;61244;733690;83037;37750;236235;383165;2412;61244;68395;447232;733690;1234166;3307;0;968182;1242955;8718;742793;65;951028;36718;1103252;1956
133;0;1392457;589067;4366480;1371193;0;12100725;0;6649;1922752;13934937;127978;223639;7683;2170583;193;24777;84712;0;219775;222640;520150;110512;16969;165795;25767;14419;224708;293944;1008748;520150;1028941;26870;65956;1213021;4134585;595;164345;1540;572614;635;70297;35911
134;0;287654;33630;2871079;2032372;0;11120362;0;532704;1584047;16187435;123933;835903;167078;7888533;0;0;0;3696;26206;10001;3653053;72323;492798;427315;1403770;7526;10001;4591;6168;3653053;3203479;13737;1213;6938515;1510950;118;1137920;0;2151625;32165;5929329;7773
135;0;127409;9140;535984;256981;0;2254202;0;0;270486;1983680;18951;57746;21980;408806;0;0;0;0;49833;0;98837;13195;18023;16076;33453;0;0;0;0;98837;191553;0;0;180487;521275;0;28814;3384;57917;0;345701;0
136;0;25021;6615;603967;364627;0;3136113;0;0;434682;2596282;12940;176648;9837;356984;0;0;0;0;3168;0;276090;35024;38486;46566;132137;0;0;0;0;276090;383650;0;0;525812;649078;0;290235;0;237259;41826;430687;1953
137;0;289637;7983;1820356;711468;0;4940780;0;1015194;414434;4293671;15854;579381;156445;811399;0;0;0;0;189;0;874911;17654;28182;45581;124573;0;0;0;4623;874911;168144;1526;0;349414;276048;0;100153;0;195626;1077;305950;10696
138;0;165437;48858;1351895;741445;0;5818124;0;10703;466150;6660733;28216;439203;40278;1058561;0;0;0;0;10959;0;394691;30752;48412;38411;41407;0;0;0;30457;394691;456139;4636;8502;921557;268160;2745;529291;0;189645;66665;343908;163
139;0;285483;33429;2860228;1036089;0;9075090;0;28840;1233048;10596769;74555;865040;16766;2099653;0;0;0;3899;1746;27382;602978;76437;19997;186205;157134;2581;27382;118856;703812;602978;778637;10694;16482;949846;1346126;3302;351413;0;423720;48278;265444;3850
140;0;40909;0;386029;969177;0;971112;0;344186;169538;1031985;0;0;872;0;0;0;0;0;0;0;360075;924;11225;45267;28173;0;0;0;0;360075;397424;1278;0;1164913;90364;0;171350;0;132431;1325;7004;0
141;0;181653;3364;1493865;1028131;0;8344620;0;225738;735706;7035628;64369;657668;25936;2586131;0;0;0;0;44233;58663;1325287;91522;86795;227393;450438;1295;58663;99864;499135;1325287;1216485;3361;1243;1796551;638105;0;555503;0;830270;98611;2003228;57
142;0;247156;21007;1707446;634101;0;5537468;0;547737;688867;5475693;30242;168845;2879;821146;0;0;0;0;12598;29648;292823;52349;9693;111130;26405;673;29695;97123;432568;292823;779334;7921;1751;726506;1356771;0;170315;0;281351;56530;211951;346
143;0;151952;9117;1288081;919645;0;7138641;0;69327;502684;4329347;38431;998681;9934;877882;0;0;0;0;9653;29315;2140272;25574;87294;153091;298131;418;29315;0;9955;2140272;871420;403;0;1036815;473698;0;862782;0;1312040;5522;966267;2570
144;0;8622;1765;307855;679183;0;607377;0;386916;222229;1868050;0;0;0;0;0;0;0;0;0;0;317062;1001;12080;86888;82611;0;0;0;0;317062;531847;539;17638;1969836;182438;0;453375;0;140079;0;0;0
145;0;298968;18174;1125392;617269;0;5100228;0;751321;611020;5884285;29453;186833;0;1434393;0;0;0;0;6150;0;400004;6770;4012;19787;35483;0;0;0;45755;400004;390542;253;13504;785113;436861;0;422225;811;173084;36728;1040991;0
146;0;250635;30296;2422705;1156860;0;9830015;0;33970;1110309;8533298;46019;909160;17893;1818076;0;0;0;0;17272;94968;1024732;14479;61048;109228;447758;6520;94982;161522;2858762;1024732;798703;1855;6054;1234432;1022030;0;456762;852;787248;38471;904397;747
147;0;90428;3649;1009711;502699;0;4220552;0;23347;784352;3293921;36186;624381;2053;876845;0;0;0;0;10263;9792;615287;20471;133834;95381;426155;0;9792;51947;515513;615287;547520;4816;535;1388743;266626;0;263855;0;196341;40201;1057575;116
148;0;182568;19159;1151606;363335;0;3183403;0;0;718122;3648811;17363;102235;1160;491835;0;0;0;0;14007;0;247222;45704;8698;14556;3792;0;0;5642;102;247222;202448;2215;15146;444574;365169;0;15371;605;82932;29139;373323;1921
149;0;109319;17852;2157752;648778;0;5663586;0;59161;1197377;5362942;26473;427340;3818;1169468;0;0;0;0;8460;15585;376121;161328;23880;89636;32310;0;15585;46476;561838;376121;363088;6292;25854;729766;764959;411;138504;0;315399;721;80778;2866
