"zone","mass_grand_t_10m2","mass_building_dcmix_hr","mass_building_dcmix_lr","mass_building_dcmix_mr","mass_building_irh","mass_building_light","mass_building_sdr_hr","mass_building_sdr_lr","mass_building_sdr_mr","mass_building_sky","mass_building","mass_other_airport","mass_other_parking","mass_other_remaining_impervious","mass_other","mass_rail_bridge","mass_rail_other","mass_rail_railway","mass_rail_subway_elevated","mass_rail_subway_surface","mass_rail_subway","mass_rail","mass_rail_tram","mass_rail_tunnel","mass_street_bridge_motorway","mass_street_bridge_other","mass_street_cycleway","mass_street_footway","mass_street_gravel","mass_street_living_street","mass_street_motorway_elevated","mass_street_motorway_link","mass_street_motorway","mass_street_other_elevated","mass_street_other","mass_street_pedestrian","mass_street_primary_link","mass_street_primary","mass_street_residential","mass_street_secondary_link","mass_street_secondary","mass_street_tertiary_link","mass_street_tertiary","mass_street","mass_street_trunk_link","mass_street_trunk","mass_street_tunnel"
9,14560145,28233.5703125,7690.27880859375,278492.875,1014395.625,542115.9375,754.831787109375,4458064,1039583.8125,0,7369333.5,0,467482.6875,2432135,2899617.5,2036.29467773438,1988.60339355469,37239.875,0,0,0,41763.1796875,0,498.420288085938,0,246078.4375,21393.654296875,44897.69140625,1470.32275390625,0,0,0,0,1679.96984863281,354198.0625,3081.064453125,3088.75146484375,346547.71875,2616682.25,0,129869.6015625,0,401521.75,4249433.5,0,74994.1796875,3929.3916015625
10,11986968,0,18272.53125,184131.734375,678141.3125,461155.8125,727.248657226562,4291122,775920.75,0,6409470.5,0,216773.71875,1968912.125,2185686.25,9773.4921875,2630.34643554688,79921.78125,0,0,0,291909.09375,0,199583.578125,0,128029.4921875,6399.31787109375,18906.9375,2323.85107421875,0,0,0,0,1332.84008789062,339336,11928.1962890625,1122.70922851562,104564.953125,1988986.5,1003.74188232422,84174.5390625,0,266607.1875,3099903.25,0,145185.15625,0
11,17129356,0,6.5872278213501,21544.578125,1028838.625,1136703,0,5139355.5,858570,0,8185005.5,26402.802734375,447840.03125,1852610.75,2326851.75,40119.33984375,4499.583984375,248945.671875,0,0,0,357628.90625,0,64063.89453125,0,748240.625,9594.314453125,122389.984375,93615.90625,1855.79174804688,0,0,0,5229.27880859375,978808.0625,3045.2998046875,616.015075683594,236980.921875,2696591.25,0,159498.53125,0,796716.1875,6259851.5,21383.82421875,330686.4375,54600.10546875
12,18532384,0,98.6808547973633,1764.61206054688,636136.5,823360.625,0,5740854.5,584693.1875,0,7786889,60520.640625,573665.5625,2498411.5,3132597,38278,0,371554.6875,0,0,0,446500.90625,0,36667.6796875,3568.36157226562,1094817.125,8277.1181640625,32208.12890625,22453.232421875,0,0,0,0,2989.90063476562,2435499.5,0,1396.87927246094,403513.21875,1654581.375,0,344243.125,910.734985351562,785813.0625,7166383.5,0,374851.3125,1271.96911621094
13,32381793.5,0,0,0,1187357.7734375,1359351.21875,0,9958574.75,541982.8515625,0,13047273.875,139775.40625,982377.7734375,2862015.5,3984168.65625,66165.1533203125,48191.5859375,330663.2109375,0,0,0,594169.375,0,149150.1796875,0,1769945.390625,13884.0078125,120712.271484375,99617.3330078125,0,0,0,0,7802.74072265625,4111446,0,0,494030.359375,3458731.46875,593.5439453125,803068.484375,0,2886866.3125,14756217.25,1226.83850097656,983346.921875,4922.37841796875
14,30529942,3595.25415039062,18799.490234375,539174.5625,3139476,1075120.625,0,10221810,943469.0625,0,15941419,16994.59765625,1027889.25,5904498,6949380,26302.13671875,8671.8369140625,181522.78125,0,0,0,217379.5,0,882.795288085938,0,652713.5,5703.1318359375,71629.3515625,4647.3974609375,0,0,0,0,12626.310546875,701108.6875,17683.666015625,8376.0703125,735817.0625,3511920,0,247906.9375,373.072113037109,949887.0625,7421755.5,176457.1875,324564.21875,335.724182128906
15,33126832,0,20223.796875,86210.84375,2008799.5,1080247.5,0,9257959,702495.8125,0,13155924,815727.875,564748.375,3979317.25,5359793.5,50387.46484375,10758.2783203125,175256.140625,0,0,0,236402.328125,0,0,91772.75,1224861.625,23780.25,191282.390625,67743.796875,4886.5205078125,0,0,0,14162.73046875,4577871,12880.599609375,0,313608.6875,2875709.25,1755.77136230469,774523.8125,0,2665765.5,14374720,101696.453125,1429471.75,2936.40478515625
16,15607508,0,19348.27734375,113593.8828125,532043.5,510630.8125,1130.65893554688,4853538.5,762697.625,0,6792986,19640.56640625,434097.625,2448132.5,2901870.75,32133.0234375,0,178735.890625,0,0,0,213094.890625,0,2225.99560546875,238246.109375,932508.9375,472.176635742188,40762.9765625,31197.1171875,0,12613.921875,50364.34765625,304946,6787.74169921875,906797.75,1141.82189941406,746.159118652344,213118.78125,1529081.875,0,75810.5078125,0,727463.5,5699554,170505.578125,455203.8125,1777.919921875
17,14841110,0,370.868194580078,28589.53515625,647887.125,710004.5,0,6093599,284843.9375,0,7765296,0,232844.0625,2561736.75,2794581.5,17907.83984375,4913.056640625,38413.05859375,0,0,0,61233.94921875,0,0,0,216177.75,0,32537.3359375,1925.10852050781,0,0,0,0,353.220001220703,276046.90625,565.612426757812,5488.607421875,257667.578125,2870778.25,1232.1474609375,169653.90625,0,257413.515625,4220008.5,22855.716796875,106910.4296875,401.92333984375
18,34551456,18881.591796875,38602.375,700580.8125,1936600.125,1181330.75,6863.5458984375,10554963,1367827,0,15805658,22367.296875,1424899.125,5042534,6489803.5,51282.859375,1738.18225097656,143488.671875,0,0,0,196839.21875,0,329.464233398438,0,1982220,19399.728515625,115294.03125,24827.048828125,0,0,0,0,15530.0830078125,2223402.5,8496.107421875,55571.5,514618.125,3754868.5,1605.05480957031,394316.65625,0,1620486.25,12059115,139233.5,1173495.625,15750.6669921875
19,34294492,3395.90185546875,30591.80078125,389273.75,2191596,1193358.75,972.184875488281,10199226,1592195.75,0,15600588,80292.734375,1180619.875,5432456.5,6693370.5,33725.23046875,6745.99169921875,221956.390625,0,302.052856445312,0,266187.25,3457.29052734375,0,33067.765625,1344607.5,25355.69921875,203379.34375,41742.9609375,34319.5625,0,0,0,14047.3134765625,2147344.5,13305.798828125,10930.36328125,430911.1875,3749491.5,803.304260253906,662371.6875,473.394073486328,2067644.875,11734294,203755.046875,741784.5,8965.255859375
20,30238620,0,12631.3623046875,174690.578125,1126745.25,878697.5625,1357.24072265625,8247212,1111829,0,11553160,328617.34375,901323.25,4876012,6105955,15062.8046875,43279.8046875,24679.33984375,15320.609375,558060.3125,40035.18359375,696437.4375,0,0,218551.484375,1254768.875,18171.794921875,150114.390625,26154.025390625,0,32864.95703125,165111.265625,1465534.25,8605.16796875,2587952,2749.90966796875,1657.16723632812,479481.5,2718619,0,546829.1875,0,1758586.375,11883052,0,305285.0625,142016.078125
21,12686818,0,5545.14404296875,327635.28125,1838073.25,338482.59375,0,3319696,513995.96875,0,6343430,0,781389.25,1738727.25,2520117,0,554.372436523438,51749.29296875,0,0,0,52303.66796875,0,0,0,385904.40625,22309.568359375,20775.763671875,1445.822265625,0,0,0,0,2181.08984375,657041.9375,713.969848632812,0,221663.078125,1845738,0,47393.3984375,783.764953613281,388562.40625,3770973.5,0,173834.328125,2624.3232421875
22,14632976,0,391.921478271484,1880.87072753906,872711.6875,660429.8125,0,4484750.5,248945.5625,0,6269114,59307.5390625,330725.21875,1921831.75,2311865.5,10780.8095703125,11280.6474609375,82098.8828125,0,0,0,104160.1640625,0,0,0,796562.125,4867.47119140625,148009.765625,22598.759765625,0,0,0,0,2960.02856445312,2054599,5134.2236328125,0,72089.5703125,1113775.75,0,496016.46875,0,1219235.125,5947841,0,11996.11328125,0
23,16050584,0,7772.009765625,72789.3203125,809865.6875,685140.1875,0,5767992,372730.6875,0,7716293.5,356180.78125,446383.78125,2861230.75,3663794,14225.1806640625,1351.16735839844,98661.9765625,0,0,0,114238.4453125,0,0,0,490940.84375,108.694137573242,73693.671875,9845.1298828125,0,0,0,0,3680.67919921875,875657.625,676.880493164062,0,167229.140625,1917851.375,0,43948.67578125,0,668752.3125,4556255.5,33169.90234375,270705.6875,0
24,30536584.125,303.014099121094,28102.236328125,118367.208984375,1572080.82373047,1392827.13476562,0,8688345.609375,551017.6328125,0,12351041.28125,112949.3671875,959748.806640625,4654911.1484375,5727604.109375,38888.1817626953,11508.9184570312,352958.458984375,0,0,0,403355.501953125,0,0,0,1202259.35058594,13866.4875488281,345566.939208984,122526.921875,0,0,0,0,9425.00421905518,2663351.78027344,2290.26654052734,3107.83935546875,165316.03125,3981020.9140625,702.30859375,1329247.98632812,0,1439291.67578125,12054572.96875,30063.78125,743942.4453125,2595.9521484375
25,31100296,0,607.244140625,34761.140625,1215686.75,752388.875,0,6457949,517030.5625,0,8978427,1801778.875,1829665.875,2622578.25,6254023.5,36931.3203125,5031.80712890625,190578.765625,0,0,0,493709.9375,0,261167.953125,284450.09375,1598630.125,738.652526855469,344591.59375,113998.421875,760.331481933594,22640.09765625,145385.0625,1516460.375,13274.173828125,4011372.75,1813.40368652344,0,190318.90625,1938672.125,0,1686673.125,2935.9833984375,2668928,15374121,106628.8125,719508.125,6355.1181640625
26,20656550,2645.4931640625,30019.177734375,681073.9375,1405441.5,600650.125,0,5955797,3402711.5,0,12078329,0,1085774.75,3151539,4237312,7975.4873046875,9724.5927734375,44399.44921875,0,0,0,65465.92578125,0,3366.44873046875,0,430704.09375,11063.4306640625,64377.66796875,5136.78564453125,0,0,0,0,3631.37939453125,482718.1875,10506.87890625,0,131410.34375,2366906.25,1688.95886230469,43606.82421875,844.898681640625,472765.375,4275455,2380.31616210938,247276.109375,435.022888183594
